nazwa,typ_placowki,ulica,miejscowosc,kod_pocztowy,powiat,wojewodztwo,telefon,email,strona_www,latitude,longitude,zrodlo_url
Ogólnopolska Federacja Stowarzyszeń Uniwersytetów Trzeciego Wieku,UTW,ul. Jagiellońska 18,Nowy Sącz,33-300,m. Nowy Sącz,małopolskie,(18) 443-57-08,federacjautw@interia.eu,https://www.federacjautw.pl/,49.610304,20.7149366,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/ogolnopolska-federacja-stowarzyszen-uniwersytetow-trzeciego-wieku/
Uniwersytet Trzeciego Wieku w Chełmku,UTW,ul. Piłsudskiego 1,Chełmek,32-660,oświęcimski,małopolskie,575780858,utwchelmek@gmail.com,https://sutw.chelmek.pl/,50.1003348,19.2542585,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-chelmku/
Stowarzyszenie Uniwersytet Trzeciego Wieku w Nowym Targu,UTW,ul. Krzywa 1,Nowy Targ,34-400,nowotarski,małopolskie,797898400,utw-nowytarg@wp.pl,https://utw.nowytarg.pl/,49.4892092,20.0263411,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-w-nowym-targu/
"Uniwersytet Trzeciego Wieku w Suchej Beskidzkiej, Wyższa Szkoła Turystyki i Ekologii",UTW,ul. Zamkowa 1,Sucha Beskidzka,34-200,suski,małopolskie,338744605,szkola@wste.edu.pl,https://wste.edu.pl/studia/uniwersytet-trzeciego-wiekuwstie/,49.74079,19.5905975,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-suchej-beskidzkiej-wyzsza-szkola-turystyki-i-ekologii/
Stowarzyszenie Akademia Pełni Życia w Krakowie,UTW,"ul. Władysława Łokietka 57A/39, 31-279, Kraków; do korespondencji: ul. Rzeźnicza 2A 31-540, Kraków",miasto Kraków,,m. Kraków,małopolskie,(12) 294-81-35,biuro@apz.org.pl,http://apz.org.pl/,50.0699121,19.9714879,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-akademia-pelni-zycia-w-krakowie/
Stowarzyszenie Uniwersytet Trzeciego Wieku „Aktywne Życie” w Miechowie,UTW,ul. Sienkiewicza 25,Miechow,32-200,miechowski,małopolskie,603805758,miechow21@wp.pl,,50.3566016,20.0276912,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-aktywne-zycie-w-miechowie/
Uniwersytet Trzeciego Wieku w Kętach przy Domu Kultury,UTW,ul. Żwirki i Wigury 2a 32-650 Kęty,Kęty,,oświęcimski,małopolskie,(33) 844 86 78,poczta@domkultury.kety.pl,https://www.domkultury.kety.pl/uniwersytet-trzeciego-wieku,49.882908,19.2239362,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-ketach-przy-domu-kultury/
Uniwersytet Trzeciego Wieku w Brzeszczach przy Ośrodku Kultury,UTW,ul. Narutowicza 1,Brzeszcze,32-620,oświęcimski,małopolskie,(32) 211 14 90 (wew. 29),sekretariat@ok.brzeszcze.pl,https://ok.brzeszcze.pl/portfolio/uniwersytet-trzeciego-wieku-2/,49.9815881,19.1478238,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-brzeszczach-przy-osrodku-kultury/
Stowarzyszenie Uniwersytet Trzeciego Wieku przy Dąbrowskim Domu Kultury,UTW,ul. Kościuszki 11,Dąbrowa Tarnowska,33-200,dąbrowski,małopolskie,667-202-570,utwdt@interia.pl,http://www.utwdt.pl/,50.1743495,20.9850707,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-przy-dabrowskim-domu-kultury/
Uniwersytet Trzeciego Wieku w Trzebinii (trzebińskie centrum kultury),UTW,ul. Kościuszki 74,Trzebinia,32-540,chrzanowski,małopolskie,(32) 612 14 97,uniwersytet@tck.trzebinia.pl,https://tck.trzebinia.pl/utw,50.1597686,19.4709097,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-trzebinii-trzebinskie-centrum-kultury/
Uniwersytet Trzeciego Wieku „Nowe Horyzonty”,UTW,ul. Leśna 2,Wolbrom,32-340,olkuski,małopolskie,32 644 13 41,info@dk.wolbrom.pl,https://dk.wolbrom.pl/nasze-sekcje/uniwersytet-trzeciego-wieku/,50.3848386,19.7598844,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-nowe-horyzonty/
"Zagórzański Uniwersytet Trzeciego Wieku, Towarzystwo Ziemi Mszańskiej",UTW,ul. Władysława Orkana 5,Mszana Dolna,34-730,limanowski,małopolskie,(18) 33 10 306,zutw@interia.pl,https://zutw.org/komunikaty.html,49.6779756,20.0820073,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/zagorzanski-uniwersytet-trzeciego-wieku-towarzystwo-ziemi-mszanskiej/
Stowarzyszenie Rabczański Uniwersytet Trzeciego Wieku w Rabce Zdroju,UTW,ul. Parkowa 5,Rabka Zdrój,34-700,nowotarski,małopolskie,606530239,uniwersytet3@gmail.com,https://www.u3w.rabka-net.pl/aktualne.html,49.6076663,19.9622575,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-rabczanski-uniwersytet-trzeciego-wieku-w-rabce-zdroju/
Pieniński Uniwersytet Trzeciego Wieku,UTW,ul. Szalaya 84,Szczawnica,34-460,nowotarski,małopolskie,570550553,biuro@pieninskiutw.pl,https://pieninskiutw.pl/,49.4266299,20.4761439,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/pieninski-uniwersytet-trzeciego-wieku/
Uniwersytet Trzeciego Wieku przy Akademii Ignatianum w Krakowie,UTW,ul. Kopernika 26,Kraków,31-501,m. Kraków,małopolskie,785042119,utw@ignatianum.edu.pl,https://www.ignatianum.edu.pl/uniwersytet-trzeciego-wieku,50.0469432,19.9971534,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-przy-akademii-ignatianum-w-krakowie/
Stowarzyszenie UTW w Dobczycach,UTW,ul. Szkolna 43,Dobczyce,32-410,myślenicki,małopolskie,666258257,stanislawa.blaut@onet.pl,http://www.utw.dobczyce.pl/,49.8803432,20.0905415,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-utw-w-dobczycach/
Stowarzyszenie Sądecki Uniwersytet Trzeciego Wieku w Nowym Sączu,UTW,ul. Jagiellońska 18,Nowy Sącz,33-300,m. Nowy Sącz,małopolskie,(18) 443-57-08,sekretariat@sutw.pl,http://www.sutw.pl/,49.610304,20.7149366,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-sadecki-uniwersytet-trzeciego-wieku-w-nowym-saczu/
Uniwersytet Trzeciego Wieku Politechniki Krakowskiej,UTW,"ul. Lea 114, pok 150",Kraków,30-133,m. Kraków,małopolskie,(12) 628 25 19,utw@pk.edu.pl,http://www.cpip.pk.edu.pl/category/uniwersytet-trzeciego-wieku/,50.0469432,19.9971534,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-politechniki-krakowskiej/
Stowarzyszenie Limanowski Uniwersytet Trzeciego Wieku w Limanowej,UTW,ul. Jana Pawła II 42,Limanowa,34-600,limanowski,małopolskie,798796709,sekretariat@utw.limanowa.edu.pl,http://www.utw.limanowa.edu.pl/,49.7061713,20.4217266,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-limanowski-uniwersytet-trzeciego-wieku-w-limanowej/
Uniwersytet Złotego Wieku w Gorlicach,UTW,ul. Biecka 9B,Gorlice,38-300,gorlicki,małopolskie,508-156-623,r.dziubina@interia.pl,http://uzwgorlice.pl/,49.65829,21.1593832,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-zlotego-wieku-w-gorlicach/
Stowarzyszenie Uniwersytet Trzeciego Wieku w Myślenicach,UTW,"Ul. Rynek 27, II piętro",Myślenice,32-400,myślenicki,małopolskie,"601-388-434,",towarzystwokultury@gmail.com,http://www.kultura.myslenice.pl/formy-aktywnosci/333/,49.834608,19.9384283,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-w-myslenicach/
"Niepołomicki Uniwersytet Trzeciego Wieku, Stowarzyszenie Miłośników Ziemi Niepołomickiej",UTW,ul. Młyńska 18/34,Niepołomice,32-005,wielicki,małopolskie,601518536,janusz.ndk@gmail.com,http://ziemia.niepolomice.pl/,50.0331163,20.2171599,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/niepolomicki-uniwersytet-trzeciego-wieku-stowarzyszenie-milosnikow-ziemi-niepolomickiej/
Stowarzyszenie Uniwersytet Trzeciego Wieku w Tarnowie przy PWSZ,UTW,ul.Mickiewicza 8,Tarnów,33-100,m. Tarnów,małopolskie,(14) 631 66 80,utw.tarnow@interia.eu,http://utw.pwsztar.edu.pl/,50.0259883,20.9640584,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-w-tarnowie-przy-pwsz/
Podhalański Uniwersytet Trzeciego Wieku,UTW,ul. Kasprusie 35a,Zakopane,34-500,tatrzański,małopolskie,696 029 113,putw.zakopane@vp.pl,http://www.putwzakopane.hekko24.pl/,49.2757934,19.9692811,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/podhalanski-uniwersytet-trzeciego-wieku/
Kluczewski Uniwersytet Trzeciego Wieku w Kluczach przy Gminnym Ośrodku Kultury,UTW,Dom Kultury „Papiernik” ul. Rudnicka 2a,Klucze,32-310,olkuski,małopolskie,(32)642 84 02,z.kocjan@gmina-klucze.pl,,50.3351358,19.5608326,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/kluczewski-uniwersytet-trzeciego-wieku-w-kluczach-przy-gminnym-osrodku-kultury/
"Uniwersytet Trzeciego Wieku Uniwersytecie Papieskim Jana Pawła II, w Krakowie",UTW,"ul. Bernardyńska 3, pok 58 31-069 Kraków",miasto Kraków,,m. Kraków,małopolskie,12 8898 437,utw@upjp2.edu.pl,http://utw.upjp2.edu.pl/,50.0699121,19.9714879,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-uniwersytecie-papieskim-jana-pawla-ii-w-krakowie/
Uniwersytet Trzeciego Wieku w Uniwersytecie Rolniczym w Krakowie,UTW,"al. 29 Listopada 46, pokój 026",Kraków,31-425,m. Kraków,małopolskie,(12) 662 52 87,utw@urk.edu.pl;,https://utw.urk.edu.pl/,50.0826285,19.950952,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-uniwersytecie-rolniczym-w-krakowie/
UTW Akademia Prądnicki Senior przy Stowarzyszeniu PRO-AGE,UTW,Ul.Kazimierza Odnowiciela 2,Kraków,31-481,m. Kraków,małopolskie,12 312 53 28,utw@pro-age.pl,https://utwpolska.pl/,50.0469432,19.9971534,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/utw-akademia-pradnicki-senior-przy-stowarzyszeniu-pro-age/
Uniwersytet Trzeciego Wieku w Olkuszu przy Miejskim Ośrodku Kultury,UTW,ul. Fr. Nullo 29,Olkusz,32-300,olkuski,małopolskie,32 643 11 20,k.gawron@mok.olkusz.pl,https://www.mok.olkusz.pl/index.php/uniwersytet-iii-wieku,50.2788158,19.5596307,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-olkuszu-przy-miejskim-osrodku-kultury/
Stowarzyszenie Uniwersytet Trzeciego Wieku w Makowie Podhalańskim,UTW,ul. Kościuszki 1,Maków Podhalański,34-220,suski,małopolskie,(33) 877 32 16,utwmakow_podhalanski@wp.pl,https://utw-makow.y0.pl/wordpress/,49.7298971,19.6768803,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-w-makowie-podhalanskim/
Uniwersytet Trzeciego Wieku w Kłaju,UTW,Ul. Płachcińskiego 650,Kłaj,32-015,wielicki,małopolskie,606478863,utw.klaj@gmail.com,http://utw-klaj.cba.pl/index.html,49.9925308,20.3154849,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-klaju/
Uniwersytet Trzeciego Wieku w Uniwersytecie Ekonomicznym,UTW,ul. Rakowicka 27,"Kraków pokój K-3, Budynek „Księżówka""",31-510,m. Kraków,małopolskie,(12) 293 59 42,bojarska@uek.krakow.pl,https://utw.uek.krakow.pl/,50.0685297,19.9555016,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-uniwersytecie-ekonomicznym/
Stowarzyszenie Uniwersytet Trzeciego Wieku w Chrzanowie,UTW,ul. Focha 3,Chrzanów,32-500,chrzanowski,małopolskie,(32) 724-12-67,utwchrzanow@gmail.com,http://www.utw.chrzanow.pl/,50.1411926,19.4028502,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-uniwersytet-trzeciego-wieku-w-chrzanowie/
Uniwersytet Trzeciego Wieku w Wieliczce,UTW,ul. Dembowskiego 4A/1,Wieliczka,32-020,wielicki,małopolskie,601 520 909,Ela.achinger@wp.pl,http://www.wieliczka-utw.pl/v2/,49.9823773,20.0602114,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-wieliczce/
Uniwersytet Trzeciego Wieku w Starym Saczu przy Fundacji Rozwoju Sądecczyzny,UTW,ul. Braterstwa Ludów 40,Stary Sącz,33-340,nowosądecki,małopolskie,509 539  544,frsbiuro@gmail.pl,http://rozwojsadecczyzny.pl/uniwersytet-iii-wieku/stary-sacz/aktualnosci/,49.5640376,20.6366038,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-starym-saczu-przy-fundacji-rozwoju-sadecczyzny/
Uniwersytet Trzeciego Wieku w Słomnikach przy Centrum Kultury,UTW,ul. Wolności 4,Słomniki,32-090,krakowski,małopolskie,(12) 388 11 49,mgckslomniki@gmail.com,http://mgckslomniki.pl/ck/index.php/utw,50.2403739,20.0811369,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-slomnikach-przy-centrum-kultury/
Stowarzyszenie Koszycki Uniwersytet Trzeciego Wieku w Koszycach,UTW,ul. Elżbiety Łokietkówny 14,Koszyce,32-130,proszowicki,małopolskie,608-554-344,,,50.1669806,20.5756459,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/stowarzyszenie-koszycki-uniwersytet-trzeciego-wieku-w-koszycach/
Uniwersytet Trzeciego Wieku w Uniwersytecie Pedagogicznym im. Komisji Edukacji Narodowej w Krakowie,UTW,ul. Ingardena 4 pok. 15 parter,Kraków,31-922,m. Kraków,małopolskie,(12) 662 74 62,utw@up.krakow.pl,https://utw.up.krakow.pl/,50.0469432,19.9971534,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-w-uniwersytecie-pedagogicznym-im-komisji-edukacji-narodowej-w-krakowie/
Uniwersytet Trzeciego Wieku przy Oświęcimskim Centrum Kultury,UTW,"32-600 Oświęcim, ul. Śniadeckiego 24",miasto Oświęcim,,oświęcimski,małopolskie,33 842 25 75,utw@ock.org.pl,https://www.ock.org.pl/Oswiecimski-Uniwersytet-Trzeciego-Wieku--159.html,50.0387735,19.2247743,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/uniwersytet-trzeciego-wieku-przy-oswiecimskim-centrum-kultury/
Wadowicki Uniwersytet Trzeciego Wieku,UTW,ul.Teatralna 1,Wadowice,34-100,wadowicki,małopolskie,(033)8233156,centrum@wck.wadowice.pl,https://wck.wadowice.pl/uniwersytet-trzeciego-wieku/,49.8834484,19.4925345,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/wadowicki-uniwersytet-trzeciego-wieku/
Krynicki Uniwersytet Otwarty przy Centrum Kultury w Krynicy Zdrój,UTW,Ul. Piłsudskiego 19,"Krynica Zdrój, II piętro, pokój 12",33-380,nowosądecki,małopolskie,(18) 471 07 57,utw@ckkrynica.pl,http://www.utw.ckkrynica.pl/,49.4206138,20.9594176,https://www.senioralna.malopolska.pl/wyszukiwarka-wsparcia-seniorów/krynicki-uniwersytet-otwarty-przy-centrum-kultury-w-krynicy-zdroj/
