typ,id_jednostki,wojewodztwo,powiat,gmina,nazwa,kod_pocztowy,miejscowosc,ulica,numer_domu,telefon,www,email,godziny_pracy,teryt_gminy,latitude,longitude,geo_precyzja,uwagi
CUS,2909.0,małopolskie,oświęcimski,Oświęcim,Centrum Usług Społecznych w Oświęcimiu,32-602,Oświęcim,ul. Jana III Sobieskiego,15B,(33) 847-90-00,cus-oswiecim.pl,cus.biuro@cus-oswiecim.pl,"pn., śr., cz. 7:00-15:00; wt. 7:00-17:00, pt. 7:00-13:00",1213011,50.0347,19.211,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,4471.0,małopolskie,tarnowski,Ryglice,Centrum Usług Społecznych w Ryglicach,33-160,Ryglice,ul. ks. Jakuba Wyrwy,2,(14) 644-31-64,www.bip.malopolska.pl/cusryglice,cus@ryglice.pl,7:00-15:00,1216081,49.8684,21.068,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2933.0,małopolskie,tarnowski,Skrzyszów,Centrum Usług Społecznych w Skrzyszowie,33-156,Skrzyszów,,638,(14) 688-99-50,cus.skrzyszow.pl,cus@skrzyszow.pl,"poniedziałek     9:00 - 17:00
wtorek - piątek 7:30 - 15:30",1216102,49.9915,20.9849,miejscowosc,źródło: RJPS eksport 06.03.2026
CUS,2958.0,małopolskie,wielicki,Niepołomice,Centrum Usług Społecznych w Niepołomicach,32-005,Niepołomice,ul. Bocheńska,26,(12) 284-87-25,www.cus-niepolomice.eu,cus@niepolomice.eu,"poniedziałki 7:00 - 17:00
wtorek - piątek 7:00 - 15:00",1219051,50.0336,20.2167,miejscowosc,źródło: RJPS eksport 06.03.2026
MOPR,130.0,małopolskie,Kraków,Kraków-Podgórze,Miejski Ośrodek Pomocy Społecznej w Krakowie,30-529,Kraków-Podgórze,ul. Józefińska,14,(12) 616-54-27,www.mops.krakow.pl,do@mops.krakow.pl,7.30-15.30,1261011,50.0381,19.9656,dzielnica,źródło: RJPS eksport 06.03.2026
MOPR,131.0,małopolskie,Nowy Sącz,Nowy Sącz,Miejski Ośrodek Pomocy Społecznej  w Nowym Sączu,33-300,Nowy Sącz,ul. Grunwaldzka,59A,(18) 444-36-23,www.mops.nowysacz.pl,mops@nowysacz.pl,"poniedziałek 8:00-16:00, wtorek-piątek 7:00-15:00",1262011,49.6243,20.6921,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,4472.0,małopolskie,Tarnów,Tarnów,Gminny Ośrodek Pomocy Społecznej w Tarnowie,33-100,Tarnów,ul. Krakowska,19,(14) 688-01-50,www.gops.ugtarnow.pro-linuxpl.com,gops@gmina.tarnow.pl,Poniedziałek 8.30. do 16.30 Wtorek- Piątek 7.30 - 15.30,1263011,50.0121,20.9858,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2793.0,małopolskie,bocheński,Bochnia,Miejski Ośrodek Pomocy Społecznej w Bochni,32-700,Bochnia,ul. Kolejowa,14,14-615-39-10,https://mopsbochnia.pl/,mops@mopsbochnia.pl,7.30 - 15.30,1201011,49.9698,20.4316,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2796.0,małopolskie,bocheński,Lipnica Murowana,Gminny Ośrodek Pomocy Społecznej w Lipnicy Murowanej,32-724,Lipnica Murowana,,25,14 685 23 30,https://www.gops.lipnicamurowana.pl,gops@lipnicamurowana.pl,"Poniedziałek - piątek 
07:30 - 15:30",1201042,49.8505,20.3273,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2800.0,małopolskie,bocheński,Trzciana,Gminny Ośrodek Pomocy Społecznej  w Trzcianie,32-733,Trzciana,,302,(14) 613-60-02,www.gopstrzciana.pl,sekretariat@gopstrzciana.pl,poniedziałek-piątek 7.30-15.30,1201082,49.8934,20.4021,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2797.0,małopolskie,bocheński,Łapanów,Gminny Ośrodek Pomocy Społecznej w Łapanowie,32-740,Łapanów,,36,(14) 685-39-04,,gops@lapanow.pl,"poniedziałek 8.00- 16.00 , wtorek, środa,czwartek i piątek 7.30- 15.30",1201052,49.9241,20.4837,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2801.0,małopolskie,bocheński,Żegocina,Gminny Ośrodek Pomocy Społecznej w Żegocinie,32-731,Żegocina,,316,(14) 613-20-02,https://gops.zegocina.pl/,gops@zegocina.pl,"7.30-16.30 poniedziałek
7.30 - 15.30 wtorek - czwartek
7.30 - 14.30 piątek",1201092,49.8793,20.3749,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2802.0,małopolskie,brzeski,Borzęcin,Gminny Ośrodek Pomocy Społecznej w Borzęcinie,32-825,Borzęcin,,563A,(14) 684-60-32,https://borzecin.naszops.pl/,gops@borzecin.pl,"Pon- 8.00 - 17.00
Wt- 7.30 - 15.30
Śr - 7.30 - 15.30
Czw - 7.30 - 15.30 
Pt - 7.30 - 14.30
",1202022,50.0635,20.7084,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2803.0,małopolskie,brzeski,Brzesko,Miejski Ośrodek Pomocy Społecznej w Brzesku,32-800,Brzesko,ul. Adama Mickiewicza,21,(14) 663-15-83,www.mops.brzesko.pl,mops@brzesko.pl,7.30-15.30,1202011,49.9753,20.6164,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2810.0,małopolskie,chrzanowski,Babice,Ośrodek Pomocy Społecznej w Babicach,32-551,Babice,ul. Kardynała Wyszyńskiego,35,(32) 613-40-50,ops.babice.pl,ops@babice.pl,"GODZINY URZĘDOWANIA:
- poniedziałek od 7:00 do 16:00
- wtorek od 7:00 do 15:00 
- środa od 7:00 do 15:00
- czwartek od 7:00 do 15:00
- piątek od 7:00 do 14:00",1203032,50.0896,19.4661,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2811.0,małopolskie,chrzanowski,Chrzanów,Ośrodek Pomocy Społecznej w Chrzanowie,32-500,Chrzanów,ul. Jagiellońska,4,32 735 69 00,www.ops.chrzanow.pl,sekretariat@ops.chrzanow.pl,"Poniedziałek  od 7.00 do 16.00
Wtorek          od 7.00 do 15.00
Środa            od 7.00 do 15.00
Czwartek       od 7.00 do 15.00
Piątek            od 7.00 do 14.00",1203011,50.136,19.4019,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2812.0,małopolskie,chrzanowski,Libiąż,Ośrodek Pomocy Społecznej w Libiążu,32-590,Libiąż,ul. 9 Maja,2,(32) 627-78-25,www.ops.libiaz.pl,ops@opslibiaz.pl,Poniedziałek: 7.00 - 16.00 Wtorek - Czwartek: 7.00 - 15.00 Piątek: 7.00 - 14.00,1203041,50.109,19.326,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2814.0,małopolskie,dąbrowski,Bolesław,Gminny Ośrodek Pomocy Społecznej w  Bolesławiu (pow. dąbrowski),33-220,Bolesław,,68,(14) 641-50-27,,gops@boleslaw.com.pl,7:30 - 15:30,1204022,50.2781,19.5506,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2816.0,małopolskie,dąbrowski,Gręboszów,Gminny Ośrodek Pomocy Społecznej w Gręboszowie,33-260,Gręboszów,,137,(14) 641-60-27,http://gops.greboszow.pl/,gops@greboszow.pl,7:30-15:30,1204032,50.1568,20.8946,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2820.0,małopolskie,gorlicki,Biecz,Miejsko-Gminny Ośrodek Pomocy Społecznej w Bieczu,38-340,Biecz,ul. Binarowska,5,"(13) 447-00-41, (13) 447-24-80",,sekretariat@mgopsbiecz.pl,7.00-15.00,1205022,49.7315,21.2602,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2821.0,małopolskie,gorlicki,Bobowa,Ośrodek Pomocy Społecznej w Bobowej,38-350,Bobowa,ul. Rynek,21,(18) 351-44-56,www.bobowa.pl,gops@bobowa.pl,7.30 do 15.30,1205032,49.6849,21.0115,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2823.0,małopolskie,gorlicki,Gorlice,Gminny Ośrodek Pomocy Społecznej w Gorlicach,38-300,Gorlice,ul. Ignacego Łukasiewicza,6,(18) 353-75-74,gops.gorlice.net.pl,gops.gorlice@post.pl,pn.- pt. 7.30 - 15.30,1205011,49.6556,21.1608,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2827.0,małopolskie,gorlicki,Sękowa,Gminny Ośrodek Pomocy Społecznej w Sękowej,38-307,Sękowa,,252,(18) 351-80-10,,gopssekowa@op.pl,"pon. 8:00-16:00, wt.-pt. 7:30-15:30",1205082,49.6316,21.2268,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2828.0,małopolskie,gorlicki,Uście Gorlickie,Ośrodek Pomocy Społecznej w Uściu Gorlickim,38-315,Uście Gorlickie,,267,(18)35-16-491,www.usciegorlickie.pl,ops@usciegorlickie.pl,7.30-15.30,1205092,49.544,21.1762,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2829.0,małopolskie,krakowski,Czernichów,Gminny Ośrodek Pomocy Społecznej w Czernichowie,32-070,Czernichów,ul. Gminna,1,(12) 270-21-57,www.gops.czernichow.pl,gops@czernichow.pl,poniedziałek 7.30-17.00 Wtorek - Czwartek 7.30 - 15.30 piątek 7.30- 14.00,1206022,49.9649,19.7862,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2832.0,małopolskie,krakowski,Jerzmanowice-Przeginia,Gminny Ośrodek Pomocy Społecznej w Jerzmanowicach,32-048,Jerzmanowice,ul. Rajska,22,(12) 389-50-71,jerzmanowice.naszops.pl,gops@jerzmanowice-przeginia.pl,,1206052,50.2142,19.803,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2833.0,małopolskie,krakowski,Kocmyrzów-Luborzyca,Gminny Ośrodek Pomocy Społecznej w Kocmyrzowie-Luborzycy,32-010,Luborzyca,ul. Jagiellońska,7,(12) 387-11-10,https://kocmyrzow-luborzyca.gopsinfo.pl,gopskocmyrzow@poczta.onet.pl,"pon.:        9.00-18.00
wt.-czw.:  7.00-15.00
pt.:           7.00-14.00",1206062,50.1435,20.1254,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2834.0,małopolskie,krakowski,Krzeszowice,Gminny Ośrodek Pomocy Społecznej w Krzeszowicach,32-065,Krzeszowice,ul. Krakowska,11,(12) 258-30-80,gopskrzeszowice.pl,sekretariat@gopskrzeszowice.pl,7:30-15:30,1206011,50.1399,19.631,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2836.0,małopolskie,krakowski,Michałowice,Gminny Ośrodek Pomocy Społecznej w Michałowicach,32-091,Michałowice,pl. Józefa Piłsudskiego,1,(12) 388-87-70,,gops@michalowice.malopolska.pl,"poniedziałki: 9:00 - 18:00, wtorki - czwartki: 8:00 - 16:00 oraz piątki: 8:00 - 15:00",1206082,50.1218,19.8874,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2840.0,małopolskie,krakowski,Sułoszowa,Gminny Ośrodek Pomocy Społecznej w Sułoszowej,32-045,Sułoszowa,ul. Krakowska,139,(12) 389-60-28,www.suloszowa.naszops.pl,gops@suloszowa.pl,"poniedziałek 9:15 - 17:15 
wtorek - piątek 7:30 - 15:30",1206132,50.2103,19.7987,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2839.0,małopolskie,krakowski,Słomniki,Gminny Ośrodek Pomocy Społecznej w Słomnikach,32-090,Słomniki,ul. Stefana Żeromskiego,2,(12) 388-12-72,www.gops-slomniki.pl,gops@slomniki.pl,"pon. 9.00-17.00, wt. - pt. 7.30-15.30",1206121,50.2315,20.082,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2842.0,małopolskie,krakowski,Zabierzów,Gminny Ośrodek Pomocy Społecznej w Zabierzowie,32-080,Zabierzów,ul. Cmentarna,2,(12) 285-14-13,www.gopszabierzow.pl,sekretariat@gopszabierzow.pl,poniedziałek - piątek 7.00 - 16.00 ,1206162,50.0997,19.786,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2843.0,małopolskie,krakowski,Zielonki,Gminny Ośrodek Pomocy Społecznej w Zielonkach,32-087,Zielonki,ul. Galicyjska,17,(12) 627-33-00,http://www.gopszielonki.naszops.pl/,sekretariat@gops-zielonki.pl,"poniedziałek od 9.00 - 17.00, wtorek - piątek od 7.45 - 15.45,",1206172,50.1231,19.967,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2841.0,małopolskie,krakowski,Świątniki Górne,Gminny Ośrodek Pomocy Społecznej w Świątnikach Górnych,32-040,Świątniki Górne,ul. Krakowska,2,(12) 270-42-26,www.swiatniki-gorne.pl,gops@swiatniki-gorne.pl,poniedziałek 7.00-17.00;wtorek-czwartek 7.00-15.00;piątek 7.00-13.00 i 13.00-15.00 dziennik podawczy,1206142,49.9637,19.8952,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2844.0,małopolskie,limanowski,Dobra,Gminny Ośrodek Pomocy Społecznej w Dobrej,34-642,Dobra,,38,(18) 333-00-60,gops.gminadobra.pl,opsdobra@pro.onet.pl,"Poniedziałek   8:00 - 16:00 
Wtorek - Piątek  7:15 - 15:15
Sobota - Niedziela  Nieczynne",1207022,49.7152,20.3024,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2845.0,małopolskie,limanowski,Jodłownik,Gminny Ośrodek Pomocy Społecznej w Jodłowniku,34-620,Jodłownik,,195,(18) 3347070,,gops@jodlownik.iap.pl,7.45-15.45,1207032,49.7601,20.3277,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,4346.0,małopolskie,limanowski,Laskowa,Gminny Ośrodek Pomocy Społecznej w Laskowej,34-602,Laskowa,,643,513136082,https://bip.malopolska.pl/gopswlaskowej,gops@laskowa.pl,7.30  - 15.30,1207052,49.7539,20.266,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2848.0,małopolskie,limanowski,Limanowa,Gminny Ośrodek Pomocy Społecznej w Limanowej,34-600,Limanowa,ul. Matki Boskiej Bolesnej,18,(18) 337-36-57,,gops@gminalimanowa.pl,7:30 do 15:30,1207011,49.7076,20.4269,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2847.0,małopolskie,limanowski,Limanowa,Miejski Ośrodek Pomocy Społecznej w Limanowej,34-600,Limanowa,ul. Jana Kilińskiego,11,(18) 337-13-10,www.mops.wlimanowej.pl,sekretariat@mops.wlimanowej.pl,7:30 - 15:30,1207011,49.7076,20.4269,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2851.0,małopolskie,limanowski,Mszana Dolna,Gminny Ośrodek Pomocy Społecznej w Mszanie Dolnej,34-730,Mszana Dolna,ul. Spadochroniarzy,6,(18) 331-05-41,,gops@mszana.pl,"poniedziałek- środa od 7:30 do 15:30
czwartek od 10:00 do 18:00
piątek od 7:00 do 15:00",1207071,49.6745,20.079,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,22708.0,małopolskie,limanowski,Niedźwiedź,Gminny Ośrodek Pomocy Społecznej w Niedźwiedziu,34-735,Niedźwiedź,,233,(18) 33-12-776,,gopsnied@pro.onet.pl,07:30-15:30,1207092,49.7169,20.1416,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,22528.0,małopolskie,limanowski,Szczawa,Gminny Ośrodek Pomocy Społecznej w Szczawie,34-607,Szczawa,,290,(18) 262-23-64,,gops@ugszczawa.pl,"Poniedziałek - od godziny 8.00 do godziny 17.00
Wtorek do Czwartku - od godziny 8.00 do godziny 16.00
Piątek - od godziny 8.00 do godziny 15.00",1207042,49.6669,20.199,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2853.0,małopolskie,limanowski,Słopnice,Gminny Ośrodek Pomocy Społecznej w Słopnicach,34-615,Słopnice,,911,(18) 334-74-33,www.gops.slopnice.pl,gops@slopnice.pl,od 7:30 do 15:30,1207102,49.7276,20.2137,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2858.0,małopolskie,miechowski,Książ Wielki,Gminny Ośrodek Pomocy Społecznej w Książu  Wielkim,32-210,Książ Wielki,ul. Warszawska,17,(41) 381-33-83,,gops@opskw.pl,"poniedziałek  8:00 - 16:00
wtorek-piątek 7:30 - 15:30",1208052,50.4363,20.1169,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2859.0,małopolskie,miechowski,Miechów,Gminny Ośrodek Pomocy Społecznej w Miechowie,32-200,Miechów,ul. Szpitalna,1,(41) 382-11-60,https://gops.miechow.pl/,gops@gops.miechow.pl,7.00-15.30,1208011,50.3579,20.0317,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2860.0,małopolskie,miechowski,Racławice,Gminny Ośrodek Pomocy Społecznej w Racławicach,32-222,Racławice,,15,(41) 3067251,,gopsraclawice@wp.pl,7.30-15.30,1208062,50.3828,20.156,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2862.0,małopolskie,myślenicki,Lubień,Ośrodek Pomocy Społecznej w  Lubniu,32-433,Lubień,,50,(18) 268-21-23,https://ops.lubien.pl/,ops@lubien.pl,7:45 - 15:45,1209032,49.7313,19.9041,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2864.0,małopolskie,myślenicki,Pcim,Gminny Ośrodek Pomocy Społecznej w Pcimiu,32-432,Pcim,,1177,(12) 274-91-02,www.gminapcim.pl,gops@pcim.pl,"poniedziałek 7.30 -17.00
wtorek - piątek 7.30 - 15.30",1209042,49.7488,19.9775,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2866.0,małopolskie,myślenicki,Sułkowice,Ośrodek Pomocy Społecznej w Sułkowicach,32-440,Sułkowice,ul. Sportowa,45,(12) 272 50 20,ops.sulkowice.pl,ops@sulkowice.pl,"Poniedziałek: 7:00-16:00
Wtorek-Piątek: 7.00-15.30",1209071,49.8397,19.8086,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2873.0,małopolskie,nowosądecki,Kamionka Wielka,Gminny Ośrodek Pomocy Społecznej w Kamionce Wielkiej,33-334,Kamionka Wielka,,253,534756544,https://kamionkaw.naszops.pl,osrodek@kamionkaw.naszops.pl,poniedziałek - piątek 7.30-15.30,1210062,49.6557,20.7908,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2875.0,małopolskie,nowosądecki,Krynica-Zdrój,Ośrodek Pomocy Społecznej w Krynicy-Zdroju,33-380,Krynica-Zdrój,ul. Józefa Ignacego Kraszewskiego,37,(18) 471-53-68,www.opskrynica.pl,sekretariat@opskrynica.pl,7.00 - 15.00 od poniedziałku do piątku,1210081,49.4213,20.958,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2879.0,małopolskie,nowosądecki,Muszyna,Ośrodek Pomocy Społecznej w Muszynie,33-370,Muszyna,ul. Piłsudskiego,119,(18) 534 94 18,http://www.opsmuszyna.naszops.pl/,ops@muszyna.pl,od 7.00 do 15.00,1210111,49.353,20.8899,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2881.0,małopolskie,nowosądecki,Piwniczna-Zdrój,Ośrodek Pomocy Społecznej w Piwnicznej-Zdroju,33-350,Piwniczna-Zdrój,ul. Bolesława Chrobrego,2,(18) 446-41-28,https://www.piwniczna.pl/osrodek-pomocy-spolecznej.html,ops@piwniczna.pl,"poniedziałek - 7.30-15.30
wtorek, środa, czwartek, piątek - 7.00-15.00
",1210121,49.4426,20.6975,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2882.0,małopolskie,nowosądecki,Podegrodzie,Ośrodek Pomocy Społecznej w Podegrodziu,33-386,Podegrodzie,,170,(18) 3551909,podegrodzie.naszops.pl,ops_podegrodzie@pro.onet.pl,"poniedziałek 8-16
wtorek, środa, czwartek, piątek 7-15",1210132,49.5832,20.613,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2876.0,małopolskie,nowosądecki,Łabowa,Ośrodek Pomocy Społecznej w Łabowej,33-336,Łabowa,,38,(18) 414-24-81,www.labowa.pl,ops@labowa.pl,"Poniedziałek - 7:30-17:00
Wtorek, środa i czwartek - 7:30-15:30
Piątek - 7:30-14:00",1210082,49.5617,20.8384,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2877.0,małopolskie,nowosądecki,Łącko,Ośrodek Pomocy Społecznej w Łącku,33-390,Łącko,,445,(18)4140736,www.lacko.pl,ops@lacko.pl,"poniedziałek 7:30-17:00, wtorek-czwartek 7:30-15:30, piątek 7:30 - 14:00",1210092,49.6954,20.5327,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2887.0,małopolskie,nowotarski,Jabłonka,Ośrodek Pomocy Społecznej w Jabłonce,34-480,Jabłonka,ul. 3 Maja,1,579470997,,ops@jablonka.pl,"poniedziałek - środa od 7.30 do 15.30, czwartek od 7.30 do 17.30, piątek od 7.30 do 13.30",1211042,49.4604,19.7122,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2888.0,małopolskie,nowotarski,Krościenko nad Dunajcem,Gminny Ośrodek Pomocy Społecznej w Krościenku nad Dunajcem,34-450,Krościenko nad Dunajcem,ul. Esperanto,2,18262-30-09,,gops@kroscienko.pl,Poniedziałek - piątek: 7:30-15:30.,1211051,49.4439,20.4281,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2889.0,małopolskie,nowotarski,Lipnica Wielka,Ośrodek Pomocy Społecznej w Lipnicy Wielkiej,34-483,Lipnica Wielka,,518,(18) 263-49-90,www.lipnicawielka.pl/ops,ops@lipnicawielka.pl,7.30 - 15.30,1211062,49.5019,19.7175,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2893.0,małopolskie,nowotarski,Ochotnica Dolna,Gminny Ośrodek Pomocy Społecznej w Ochotnicy Dolnej,34-452,Ochotnica Dolna,os. Osiedle Dłubacze,161,(18) 262-46-01,https://gops.ochotnica.pl,gops@ochotnica.pl,"PON 8-18
WT-CZW 8-16
PT 8-14",1211102,49.5493,20.2656,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2894.0,małopolskie,nowotarski,Raba Wyżna,Gminny Ośrodek Pomocy Społecznej w Rabie Wyżnej,34-721,Raba Wyżna,,41,182671231,www.gopsrw.pl,info@gopsrw.pl,"Poniedziałek: 8.00-16.00
Wtorek: 8.00-17.00
Środa: 8.00-16.00
Czwartek: 8.00-16.00
Piątek: 8.00-15.00
",1211122,49.5524,19.9124,miejscowosc,źródło: RJPS eksport 06.03.2026
OPS,2895.0,małopolskie,nowotarski,Rabka-Zdrój,Ośrodek Pomocy Społecznej w Rabce-Zdroju,34-700,Rabka-Zdrój,ul. Parkowa,2,(18) 267-98-68,www.ops.rabka.pl,ops@rabka.pl,"8.00 do 17.00 poniedziałek 
8.00 do 16.00 wtorek-czwartek
8.00 do 15.00 piątek
",1211111,49.6072,19.9596,miejscowosc,źródło: RJPS eksport 06.03.2026
