typ,wojewodztwo,powiat,gmina,nazwa,kod_pocztowy,miejscowosc,adres,telefon,email
GOPS,śląskie,bielski,Wilamowice,Gminny Ośrodek Pomocy Społecznej w Wilamowicach,43-330,Wilamowice,rynek Rynek 1,(33) 812-94-80,gops@wilamowice.pl
GOPS,śląskie,bielski,Wilkowice,Gminny Ośrodek Pomocy Społecznej w Wilkowicach,43-365,Wilkowice,ul. Parkowa 10,(33) 443-22-55,sekretariat@gops.wilkowice.pl
MOPS,śląskie,Bielsko-Biała,Bielsko-Biała,Miejski Ośrodek Pomocy Społecznej w Bielsku-Białej,43-300,Bielsko-Biała,ul. Karola Miarki 11,(33) 499-56-00,sekretariat@mops.bielsko.pl
MOPS,śląskie,bieruńsko-lędziński,Bieruń,Miejski Ośrodek Pomocy Społecznej w Bieruniu,43-155,Bieruń,ul. Władysława Jagiełły 1,(32) 216-21-76,sekretariat@mops.bierun.pl
CUS,śląskie,bieruńsko-lędziński,Bojszowy,Centrum Usług Społecznych w Bojszowach,43-220,Świerczyniec,ul. Sierpowa 38,(32) 328-93-05,kontakt@cus.bojszowy.pl
GOPS,śląskie,bieruńsko-lędziński,Chełm Śląski,Gminny Ośrodek Pomocy Społecznej w Chełmie Śląskim,41-403,Chełm Śląski,ul. Techników,18 575-222 -40 | (32) 225-76-95,biuro@gops.chelmsl.pl
MOPS,śląskie,bieruńsko-lędziński,Imielin,Miejski Ośrodek Pomocy Społecznej w Imielinie,41-407,Imielin,ul. Imielińska 87,(32) 225-57-46,biuro@mopsimielin.pl
MOPS,śląskie,bieruńsko-lędziński,Lędziny,Miejski Ośrodek Pomocy Społecznej w Lędzinach,43-143,Lędziny,ul. Lędzińska 47,(32) 216-67-91,mops@mopsledziny.pl
MOPS,śląskie,Bytom,Bytom,Miejski Ośrodek Pomocy Rodzinie w Bytomiu,41-902,Bytom,ul. Strzelców Bytomskich 16,(32) 388-67-00,kancelaria@mopr.bytom.pl
GOPS,śląskie,Chorzów,Chorzów,Ośrodek Pomocy Społecznej w Chorzowie,41-500,Chorzów,ul. Racławicka 19,(32) 771-63-03,ops@opschorzow.pl
GOPS,śląskie,cieszyński,Brenna,Gminny Ośrodek Pomocy Społecznej w Brennej,43-438,Brenna,ul. Leśnica 8,(33) 853-64-59,gops@brenna.org.pl
GOPS,śląskie,cieszyński,Chybie,Gminny Ośrodek Pomocy Społecznej w Chybiu,43-520,Chybie,ul. Bielska 61,(33) 856-11-05,gops@chybie.pl
MOPS,śląskie,cieszyński,Cieszyn,Miejski Ośrodek Pomocy Społecznej w Cieszynie,43-400,Cieszyn,ul. Skrajna 5,(33) 479-49-00,poczta@mops.cieszyn.pl
GOPS,śląskie,cieszyński,Dębowiec,Gminny Ośrodek Pomocy Społecznej w Dębowcu,43-426,Dębowiec,ul. Katowicka 3,(33) 856-22-42,gops@debowiec.cieszyn.pl
CUS,śląskie,cieszyński,Goleszów,Centrum Usług Społecznych w Goleszowie,43-440,Goleszów,ul. Cieszyńska 29,(33) 479-05-17 | (33) 479-05-54,cus@cusgoleszow.pl
GOPS,śląskie,cieszyński,Hażlach,Gminny Ośrodek Pomocy Społecznej w Hażlachu,43-419,Hażlach,ul. Główna 37,(33) 856-96-00,gops@hazlach.pl
GOPS,śląskie,cieszyński,Istebna,Gminny Ośrodek Pomocy Społecznej w Istebnej,43-470,Istebna,,(33) 855-62-22,gops@ug.istebna.pl
GOPS,śląskie,cieszyński,Skoczów,Ośrodek Pomocy Społecznej w Skoczowie,43-430,Skoczów,ul. Gustawa Morcinka 18,(33) 853-34-52,ops@um.skoczow.pl
MOPS,śląskie,cieszyński,Strumień,Miejski Ośrodek Pomocy Społecznej w Strumieniu,43-246,Strumień,ul. 1 Maja 18,(33) 857-14-61,mops@um.strumien.pl
MOPS,śląskie,cieszyński,Ustroń,Miejski Ośrodek Pomocy Społecznej w Ustroniu,43-450,Ustroń,ul. M. Konopnickiej 40,(33) 854-26-34,mops@ustron.pl
MOPS,śląskie,cieszyński,Wisła,Miejski Ośrodek Pomocy Społecznej w Wiśle,43-460,Wisła,pl. Bogumiła Hoffa 3,(33) 855-35-53,mops@um.wisla.pl
GOPS,śląskie,cieszyński,Zebrzydowice,Gminny Ośrodek Pomocy Społecznej w Zebrzydowicach,43-410,Zebrzydowice,ul. ks. Antoniego Janusza 6,(32) 475-51-19,gops@zebrzydowice.pl
MOPS,śląskie,Częstochowa,Częstochowa,Miejski Ośrodek Pomocy Społecznej w Częstochowie,42-217,Częstochowa,ul. Polskiej Organizacji Wojskowej 2,(34) 372-42-00,mops@czestochowa.um.gov.pl
MOPS,śląskie,częstochowski,Blachownia,Miejski Ośrodek Pomocy Społecznej w Blachowni,42-290,Blachownia,ul. Miodowa 4a,(34) 320-41-76,mopsbla@o2.pl
GOPS,śląskie,częstochowski,Dąbrowa Zielona,Gminny Ośrodek Pomocy Społecznej w Dąbrowie Zielonej,42-265,Dąbrowa Zielona,pl. Plac Kościuszki 31,(34) 355-50-51,gops@dabrowazielona.pl
GOPS,śląskie,częstochowski,Janów,Gminny Ośrodek Pomocy Społecznej w Janowie,42-253,Janów,ul. Częstochowska 1,(34) 327-84-05,janowgops@janow.pl
GOPS,śląskie,częstochowski,Kamienica Polska,Gminny Ośrodek Pomocy Społecznej w Kamienicy Polskiej,42-260,Kamienica Polska,ul. Marii Konopnickiej 12,(34) 327-34-92,ops_kamienicapolska@op.pl
GOPS,śląskie,częstochowski,Kłomnice,Gminny Ośrodek Pomocy Społecznej w Kłomnicach,42-270,Zdrowa,ul. Łąkowa 1,(34) 389-36-60,gops@klomnice.pl
GOPS,śląskie,częstochowski,Koniecpol,Miejsko-Gminny Ośrodek Pomocy Społecznej w Koniecpolu,42-230,Koniecpol,ul. Chrząstowska 6a,(34) 355-13-87,mgopskoniecpol@poczta.onet.pl
GOPS,śląskie,częstochowski,Konopiska,Gminny Ośrodek Pomocy Społecznej w Konopiskach,42-274,Konopiska,ul. Lipowa 1,(34) 328-20-30,gops@konopiska.pl
GOPS,śląskie,częstochowski,Kruszyna,Gminny Ośrodek Pomocy Społecznej w Kruszynie,42-282,Kruszyna,ul. Andrzeja Kmicica 5,(34) 320-20-03,gops@kruszyna.pl
GOPS,śląskie,częstochowski,Lelów,Gminny Ośrodek Pomocy Społecznej w Lelowie,42-235,Lelów,ul. Szczekocińska 18,(34) 355-00-14,gops@lelow.pl
GOPS,śląskie,częstochowski,Mstów,Gminny Ośrodek Pomocy Społecznej w Mstowie,42-244,Mstów,ul. Gminna 14,(34) 329-58-17,gops@mstow.pl
GOPS,śląskie,częstochowski,Mykanów,Gminny Ośrodek Pomocy Społecznej w Mykanowie,42-233,Mykanów,ul. Samorządowa 1,(34) 328-80-23,gops@mykanow.pl
GOPS,śląskie,częstochowski,Olsztyn,Gminny Ośrodek Pomocy Społecznej w Olsztynie,42-256,Olsztyn,ul. Zielona 70,(34) 328-59-20,gops@olsztyn-jurajski.pl
GOPS,śląskie,częstochowski,Poczesna,Gminny Ośrodek Pomocy Społecznej w Poczesnej,42-262,Poczesna,ul. Wolności 2,(34) 326-30-26,gops@poczesna.pl
GOPS,śląskie,częstochowski,Przyrów,Gminny Ośrodek Pomocy Społecznej w Przyrowie,42-248,Przyrów,ul. Częstochowska 7,(34) 355-41-20,gops_przyrow@interia.pl
GOPS,śląskie,częstochowski,Rędziny,Gminny Ośrodek Pomocy Społecznej w Rędzinach,42-242,Rędziny,ul. Wolności,(34) 320-10-15,gops@redziny.pl
GOPS,śląskie,częstochowski,Starcza,Gminny Ośrodek Pomocy Społecznej w Starczy,42-261,Starcza,ul. Szkolna 1,(34) 314-05-08,gopsstar@wp.pl
MOPS,śląskie,Dąbrowa Górnicza,Dąbrowa Górnicza,Miejski Ośrodek Pomocy Społecznej w Dąbrowie Górniczej,41-300,Dąbrowa Górnicza,ul. Aleja Józefa Piłsudskiego 2,(32) 262-40-40,sekretariat@mops.com.pl
GOPS,śląskie,Gliwice,Gliwice,Ośrodek Pomocy Społecznej w Gliwicach,44-100,Gliwice,ul. Górnych Wałów 9,(32) 335-96-00,ops@ops.gliwice.eu
GOPS,śląskie,gliwicki,Gierałtowice,Ośrodek Pomocy Społecznej w Gierałtowicach,44-186,Gierałtowice,ul. Powstańców Śląskich 1,(32) 301-15-27,dyrektor@ops.gieraltowice.pl
MOPS,śląskie,gliwicki,Knurów,Miejski Ośrodek Pomocy Społecznej w Knurowie,44-190,Knurów,ul. ks. Alojzego Koziełka 2,(32) 335-50-00,ops@knurow.pl
GOPS,śląskie,gliwicki,Pilchowice,Gminny Ośrodek Pomocy Społecznej w Pilchowicach zs. w Nieborowicach,44-145,Nieborowice,ul. Główna,52 730-179-561 | (32) 332-71-65,kierownik.ops@pilchowice.pl
GOPS,śląskie,gliwicki,Pyskowice,Ośrodek Pomocy Społecznej w Pyskowicach,44-120,Pyskowice,ul. Strzelców Bytomskich 3,(32) 233-23-55,sekretariat@ops.pyskowice.pl
GOPS,śląskie,gliwicki,Rudziniec,Ośrodek Pomocy Społecznej w Rudzińcu z siedzibą w Pławniowicach,44-171,Pławniowice,ul. Gliwicka 50,(32) 400-07-70 (do 779),sekretariat@opsrudziniec.pl
GOPS,śląskie,gliwicki,Sośnicowice,Ośrodek Pomocy Społecznej w Sośnicowicach,44-153,Sośnicowice,ul. Szprynek 1,(32) 428-51-80 (do 88),ops@sosnicowice.pl
GOPS,śląskie,gliwicki,Toszek,Ośrodek Pomocy Społecznej w Toszku,44-180,Toszek,rynek Rynek 11,(32) 332-67-02,sekretariat@ops.toszek.pl
GOPS,śląskie,gliwicki,Wielowieś,Ośrodek Pomocy Społecznej w Wielowsi,44-187,Wielowieś,ul. Główna 1,(32) 233-60-58,ops_wielowies@wp.pl
GOPS,śląskie,Jastrzębie-Zdrój,Jastrzębie-Zdrój,Ośrodek Pomocy Społecznej w Jastrzębiu-Zdroju,44-335,Jastrzębie-Zdrój,ul. Opolska 9,(32) 434-96-57,sekretariat@ops.jastrzebie.pl
MOPS,śląskie,Jaworzno,Jaworzno,Miejski Ośrodek Pomocy Społecznej w Jaworznie,43-600,Jaworzno,ul. Północna 9b,(32) 618-18-40,mops@mops.jaworzno.pl
MOPS,śląskie,Katowice,Katowice,Miejski Ośrodek Pomocy Społecznej w Katowicach,40-040,Katowice,ul. Wita Stwosza 7,(32) 606-18-00,kancelaria@mops.katowice.pl
GOPS,śląskie,kłobucki,Kłobuck,Gminny Ośrodek Pomocy Społecznej w Kłobucku,42-100,Kłobuck,ul. Zamkowa 12,(34) 373-51-00,sekretariat@gopsklobuck.pl
GOPS,śląskie,kłobucki,Krzepice,Miejsko-Gminny Ośrodek Pomocy Społecznej w Krzepicach,42-160,Krzepice,ul. Częstochowska 13,(34) 317-57-20,krzepice@naszops.pl
GOPS,śląskie,kłobucki,Lipie,Gminny Ośrodek Pomocy Społecznej w Lipiu,42-165,Lipie,ul. Częstochowska 29,(34) 318-80-34,gops.lipie@post.pl
GOPS,śląskie,kłobucki,Miedźno,Gminny Ośrodek Pomocy Społecznej w Miedźnie,42-120,Miedźno,ul. Ułańska 25,(34) 311-40-00,gops@miedzno.pl
GOPS,śląskie,kłobucki,Opatów,Gminny Ośrodek Pomocy Społecznej w Opatowie,42-152,Opatów,ul. Tadeusza Kościuszki 27,(34) 319-60-93,pomoc@gopsopatow.pl
GOPS,śląskie,kłobucki,Panki,Gminny Ośrodek Pomocy Społecznej w Pankach,42-140,Panki,ul. Tysiąclecia 5,(34) 317-90-34,opspanki@list.pl
GOPS,śląskie,kłobucki,Popów,Gminny Ośrodek Pomocy Społecznej w Popowie,42-110,Zawady,ul. Częstochowska 6,(34) 317-70-83,gopspopow@gmail.com
GOPS,śląskie,kłobucki,Przystajń,Gminny Ośrodek Pomocy Społecznej w Przystaji,42-141,Przystajń,ul. Częstochowska 5,(34) 319-10-44,gops@gminaprzystajn.pl
GOPS,śląskie,kłobucki,Wręczyca Wielka,Gminny Ośrodek Pomocy Społecznej we Wręczycy Wielkiej,42-130,Wręczyca Wielka,ul. Sienkiewicza 1,(34) 319-24-66,gops@gopswreczycawielka.pl
GOPS,śląskie,lubliniecki,Boronów,Gminny Ośrodek Pomocy Społecznej w Boronowie,42-283,Boronów,ul. Dolna 2,(34) 353-95-51,gopsboronow@interia.pl
GOPS,śląskie,lubliniecki,Ciasna,Gminny Ośrodek Pomocy Społecznej w Ciasnej,42-793,Ciasna,ul. Nowa 1a,(34) 353-51-02,gops@ciasna.pl
GOPS,śląskie,lubliniecki,Herby,Gminny Ośrodek Pomocy Społecznej w Herbach,42-284,Herby,ul. Lubliniecka 33,(34) 357-41-00,gops@gopsherby.pl
GOPS,śląskie,lubliniecki,Kochanowice,Gminny Ośrodek Pomocy Społecznej w Kochanowicach,42-713,Kochanowice,ul. Lubliniecka 7,(34) 353-34-27,gops@kochanowice.pl
GOPS,śląskie,lubliniecki,Koszęcin,Gminny Ośrodek Pomocy Społecznej w Koszęcinie,42-286,Koszęcin,ul. Sobieskiego 11a,(34) 352-40-83,gops@gopskoszecin.pl
MOPS,śląskie,lubliniecki,Lubliniec,Miejski Ośrodek Pomocy Społecznej w Lublińcu,42-700,Lubliniec,ul. Oświęcimska 30,(34) 356-20-05,sekretariat@mops.lubliniec.pl
GOPS,śląskie,lubliniecki,Pawonków,Gminny Ośrodek Pomocy Społecznej w Pawonkowie,42-772,Pawonków,ul. Skrzydłowicka 7,(34) 353-40-32,gops@pawonkow.pl
GOPS,śląskie,lubliniecki,Woźniki,Miejsko-Gminny Ośrodek Pomocy Społecznej w Woźnikach,42-289,Woźniki,ul. Rynek 6,(34) 361-01-81,mgops@wozniki.pl
CUS,śląskie,mikołowski,Łaziska Górne,Centrum Usług Społecznych w Łaziskach Górnych,43-173,Łaziska Górne,ul. kard. Wyszyńskiego 8,(32) 324-86-50,sekretariat@cus.laziska.pl
MOPS,śląskie,mikołowski,Mikołów,Miejski Ośrodek Pomocy Społecznej w Mikołowie,43-190,Mikołów,ul. Kolejowa 2,(32) 324-26-91,mops@mops.mikolow.eu
GOPS,śląskie,mikołowski,Ornontowice,Gminny Ośrodek Pomocy Społecznej w  Ornontowicach,43-178,Ornontowice,ul. Żabik 9,(32) 235-45-03,gops@ornontowice.pl
MOPS,śląskie,mikołowski,Orzesze,Miejski Ośrodek Pomocy Społecznej w Orzeszu,43-180,Orzesze,ul. Powstańców 5B,(32) 221-55-20 | (32) 326-07-35 | (32) 326-07-36,mops@orzesze.pl
GOPS,śląskie,mikołowski,Wyry,Gminny Ośrodek Pomocy Społecznej w Wyrach,43-175,Wyry,ul. Główna,(32) 218-72-43 | (32) 323-02-38 | (32) 218-72-72,gops@gopswyry.eu
MOPS,śląskie,Mysłowice,Mysłowice,Miejski Ośrodek Pomocy Społecznej w Mysłowicach,41-400,Mysłowice,ul. Gwarków 24,(32) 222-28-12,sekretariat@mops-myslowice.pl
MOPS,śląskie,myszkowski,Koziegłowy,Gminno-Miejski Ośrodek Pomocy Społecznej w Koziegłowach,42-350,Koziegłowy,pl. Moniuszki 20,(22) 524-99-90,pomocspoleczna@kozieglowy.pl
MOPS,śląskie,myszkowski,Myszków,Miejski Ośrodek Pomocy Społecznej w Myszkowie,42-300,Myszków,ul. Pułaskiego 7,(34) 313-56-30,mops.myszkow@mops.miastomyszkow.pl
GOPS,śląskie,myszkowski,Niegowa,Gminny Ośrodek Pomocy Społecznej w Niegowie,42-320,Niegowa,ul. Bankowa 21,(34) 317-10-69,gops@niegowa.pl
GOPS,śląskie,myszkowski,Poraj,Gminny Ośrodek Pomocy Społecznej w Poraju,42-360,Poraj,ul. Górnicza 21,(34) 314-56-29,gops@ugporaj.pl
GOPS,śląskie,myszkowski,Żarki Miejsko,Gminny Ośrodek Pomocy Społecznej w Żarkach,42-310,Żarki,ul. Myszkowska 28,(34) 313-00-85,opszarki@wp.pl
MOPS,śląskie,Piekary Śląskie,Piekary Śląskie,Miejski Ośrodek Pomocy Rodzinie w Piekarach Śląskich,41-949,Piekary Śląskie,ul. Biskupa Nankera,(32) 288-35-74,biuro@mopr.piekary.pl
GOPS,śląskie,pszczyński,Goczałkowice-Zdrój,Ośrodek Pomocy Społecznej w Goczałkowicach-Zdroju,43-230,Goczałkowice-Zdrój,ul. Uzdrowiskowa 61,(32) 212-70-55,ops@goczalkowicezdroj.pl
GOPS,śląskie,pszczyński,Kobiór,Gminny Ośrodek Pomocy Społecznej w Kobiórze,43-210,Kobiór,ul. Centralna 57,(32) 218-85-96,gopskobior@wp.pl
GOPS,śląskie,pszczyński,Miedźna,Gminny Ośrodek Pomocy Społecznej w Miedźnej zs. w Woli,43-225,Wola,ul. Poprzeczna 1,(32) 211-82-51,gops@gops.miedzna.pl
GOPS,śląskie,pszczyński,Pawłowice,Ośrodek Pomocy Społecznej w Pawłowicach,43-251,Pawłowice,ul. Górnicza 26,(32) 472-17-41,ops@pawlowice.pl
GOPS,śląskie,pszczyński,Pszczyna,Ośrodek Pomocy Społecznej w Pszczynie,43-200,Pszczyna,ul. Jana Kilińskiego 5a,(32) 210-41-73,ops@pszczyna.pl
GOPS,śląskie,pszczyński,Suszec,Gminny Ośrodek Pomocy Społecznej w Suszcu,43-267,Suszec,ul. Lipowa 1,(32) 449-30-83,gopssuszec@gopssuszec.wizja.net
GOPS,śląskie,raciborski,Kornowac,Ośrodek Pomocy społecznej w Kornowacu,44-285,Kornowac,ul. Raciborska 48,(32) 430-12-11,ops@kornowac.pl
GOPS,śląskie,raciborski,Krzanowice,Gminny Ośrodek Pomocy Społecznej w Krzanowicach,47-470,Krzanowice,ul. Zawadzkiego 5,(32) 410-93-09,info@gopskrzanowice.pl
GOPS,śląskie,raciborski,Krzyżanowice,Ośrodek Pomocy Społecznej Krzyżanowice zs. w Tworkowie,47-451,Tworków,ul. Zamkowa 50,(32) 419-63-00 | (32) 419-62-71,ops@krzyzanowice.pl
MOPS,śląskie,raciborski,Kuźnia Raciborska,Miejski Ośrodek Pomocy Społecznej w Kuźni Raciborskiej,47-420,Kuźnia Raciborska,ul. Jagodowa 15,(32) 419-10-73,mops-kuznia@home.pl
GOPS,śląskie,raciborski,Nędza,Gminny Ośrodek Pomocy Społecznej w Nędzy,47-440,Nędza,ul. Jana Pawła II 41a,(32) 410-20-50,ops_nedza@pro.onet.pl
GOPS,śląskie,raciborski,Pietrowice Wielkie,Gminny Ośrodek Pomocy Społecznej w Pietrowicach Wielkich,47-480,Pietrowice Wielkie,ul. Szkolna 5,(32) 419-81-01,gops@pietrowicewielkie.com.pl
GOPS,śląskie,raciborski,Racibórz,Ośrodek Pomocy Społecznej w Raciborzu,47-400,Racibórz,ul. Henryka Sienkiewicza 1,(32) 415-26-50,sekretariat@ops-raciborz.pl
GOPS,śląskie,raciborski,Rudnik,Gminny Ośrodek Pomocy Społecznej w Rudniku,47-411,Rudnik,ul. Arcybiskupa Gawliny 2,(32) 410-64-25,gops@gmina-rudnik.pl
MOPS,śląskie,Ruda Śląska,Ruda Śląska,Miejski Ośrodek Pomocy Społecznej w Rudzie Śląskiej,41-709,Ruda Śląska,ul. Jadwigi Markowej 20,(32) 344-03-00,sekretariat@mops.rsl.pl
GOPS,śląskie,rybnicki,Czerwionka-Leszczyny,Ośrodek Pomocy Społecznej w Czerwionce-Leszczynach,44-230,Czerwionka-Leszczyny,ul. 3 Maja 36B,(32) 431-20-39,ops@czerwionka-leszczyny.com.pl
GOPS,śląskie,rybnicki,Gaszowice,Ośrodek Pomocy Społecznej w Gaszowicach,44-293,Gaszowice,ul. Rydułtowska 1,(32) 439-96-00,ops@gaszowice.pl
GOPS,śląskie,rybnicki,Jejkowice,Ośrodek Pomocy Społecznej w Jejkowicach,44-290,Jejkowice,ul. Główna 38,(32) 430-27-02,ops.jejkowice@onet.pl
GOPS,śląskie,rybnicki,Lyski,Ośrodek Pomocy Społecznej w Lyskach,44-295,Lyski,ul. Sikorskiego 2,(32) 430-03-75,ops@lyski.pl
GOPS,śląskie,rybnicki,Świerklany,Gminny Ośrodek Pomocy Społecznej w Świerklanach,44-266,Świerklany,ul. Kościelna 85,(32) 430-42-54,ops@swierklany.pl
GOPS,śląskie,Rybnik,Rybnik,Ośrodek Pomocy Społecznej w Rybniku,44-200,Rybnik,ul. Żużlowa 25,(32) 422-11-11,ops@opsrybnik.pl
MOPS,śląskie,Siemianowice Śląskie,Siemianowice Śląskie,Miejski Ośrodek Pomocy Społecznej Siemianowice Śląskie,41-100,Siemianowice Śląskie,ul. Szkolna 17,(32) 765-62-00,mops@mops.siemianowice.pl
MOPS,śląskie,Sosnowiec,Sosnowiec,Miejski Ośrodek Pomocy Społecznej w Sosnowcu,41-200,Sosnowiec,ul. 3 Maja 33,(32) 296-22-01,kancelaria@mopssosnowiec.pl
GOPS,śląskie,Świętochłowice,Świętochłowice,Ośrodek Pomocy Społecznej w Świętochłowicach,41-600,Świętochłowice,ul. Katowicka 35,(32) 245-51-04,sekretariat@ops-sw.pl
MOPS,śląskie,tarnogórski,Kalety,Miejski Ośrodek Pomocy Społecznej w Kaletach,42-660,Kalety,ul. Żwirki i Wigury 2,(34) 352-76-34,mops@kalety.pl
GOPS,śląskie,tarnogórski,Krupski Młyn,Gminny Ośrodek Pomocy Społecznej w Krupskim Młynie,42-693,Krupski Młyn,ul. Zawadzkiego 3,(32) 284-84-42,gops@krupskimlyn.pl
MOPS,śląskie,tarnogórski,Miasteczko Śląskie,Miejski Ośrodek Pomocy Społecznej w Miasteczku Śląskim,42-610,Miasteczko Śląskie,ul. Staromiejska 8,(32) 288-84-66,pomoc@mops-miasteczkosl.pl
GOPS,śląskie,tarnogórski,Ożarowice,Ośrodek Pomocy Społecznej w Ożarowicach,42-625,Ożarowice,ul. Dworcowa 15,(32) 284-01-51,ops@ops.ozarowice.pl
GOPS,śląskie,tarnogórski,Radzionków,Ośrodek Pomocy Społecznej w Radzionkowie,41-922,Radzionków,ul. Jana Kużaja 19,(32) 286-65-44,sekretariat@ops.radzionkow.pl
GOPS,śląskie,tarnogórski,Świerklaniec,Ośrodek Pomocy Społecznej w Świerklańcu zs. w Nakle Śląskim,42-620,Nakło Śląskie,ul. Główna 62,(32) 390-21-88,Ośrodek@swierklaniec.naszops.pl
MOPS,śląskie,tarnogórski,Tarnowskie Góry,Miejski Ośrodek Pomocy Społecznej w Tarnowskich Górach,42-600,Tarnowskie Góry,ul. Wincentego Janasa 9,(32) 476-85-00,org@mopstg.pl
GOPS,śląskie,tarnogórski,Tworóg,Gminny Ośrodek Pomocy Społecznej w Tworogu,42-690,Tworóg,ul. Zamkowa 16,(32) 284-68-57,gopstworog@poczta.onet.pl
GOPS,śląskie,tarnogórski,Zbrosławice,Gminny Ośrodek Pomocy Społecznej w Zbrosławicach,42-674,Kamieniec,ul. Tarnogórska 4a,(32) 233-78-92,gops@zbroslawice.pl
MOPS,śląskie,Tychy,Tychy,Miejski Ośrodek Pomocy Społecznej w Tychach,43-100,Tychy,ul. Budowlanych 59,(32) 323-22-61,sekretariat@mops.tychy.pl
GOPS,śląskie,wodzisławski,Godów,Gminny Ośrodek Pomocy Społecznej w Godowie,44-340,Godów,ul. 1 Maja 66,(32) 472-77-33 | (32) 476-70-11,opsgodow@opsgodow.pl
GOPS,śląskie,wodzisławski,Gorzyce,Ośrodek Pomocy Społecznej w Gorzycach,44-350,Gorzyce,ul. Raciborska 27,(32) 451-16-71,poczta@opsgorzyce.pl
GOPS,śląskie,wodzisławski,Lubomia,Ośrodek Pomocy Społecznej w Lubomi,44-360,Lubomia,ul. Korfantego 71,(32) 451-60-26 | (32) 451-61-04,ops@lubomia.pl
GOPS,śląskie,wodzisławski,Marklowice,Ośrodek Pomocy Społecznej w Marklowicach,44-321,Marklowice,ul. Wyzwolenia 71,(32) 455-06-84,ops-marklowice@o2.pl
GOPS,śląskie,wodzisławski,Mszana,Ośrodek Pomocy Społecznej w Mszanie,44-323,Połomia,ul. Centralna 93,(32) 472-00-42,poczta@opsmszana.pl
GOPS,śląskie,wodzisławski,Pszów,Ośrodek Pomocy Społecznej w Pszowie,44-370,Pszów,ul. Romualda Traugutta 48,(32) 455-75-86,ops@pszow.pl
GOPS,śląskie,wodzisławski,Radlin,Ośrodek Pomocy Społecznej w Radlinie,44-310,Radlin,ul. Ludwika Solskiego 15,(32) 456-73-63,ops@radlin.pl
MOPS,śląskie,wodzisławski,Rydułtowy,Miejski Ośrodek Pomocy Społecznej w Rydułtowach,44-280,Rydułtowy,ul. Raciborska,(32) 457-47-97,kancelaria@mopsrydultowy.pl
